Brazil,Serie_A,2015,31/05/2015,20:00,Corinthians,Palmeiras,0,2,A,2.11,3.26,4.1,2.2,3.4,4.2,2.05,3.17,3.71
Brazil,Serie_A,2015,31/05/2015,20:00,Goias,Gremio,1,1,D,2.92,3.1,2.77,2.92,3.2,2.87,2.72,2.97,2.69
Brazil,Serie_A,2015,31/05/2015,20:00,Internacional,Sao_Paulo,0,0,D,2.48,3.34,3.09,2.6,3.35,3.2,2.35,3.17,3.03
Brazil,Serie_A,2015,31/05/2015,22:30,Figueirense,Cruzeiro,2,1,H,3.02,3.22,2.61,3.1,3.25,2.62,2.91,3.08,2.47
Brazil,Serie_A,2015,31/05/2015,22:30,Flamengo_RJ,Fluminense,2,3,A,2.4,3.33,3.25,2.5,3.37,3.26,2.35,3.15,3.03
Brazil,Serie_A,2015,03/06/2015,23:30,Atletico-PR,Figueirense,1,0,H,1.65,3.66,6.83,1.75,3.95,7.3,1.64,3.48,5.73
Brazil,Serie_A,2015,03/06/2015,23:30,Chapecoense-SC,Joinville,2,0,H,1.65,3.73,6.65,1.7,3.78,6.65,1.65,3.52,5.46
Brazil,Serie_A,2015,03/06/2015,23:30,Vasco,Ponte_Preta,0,3,A,2.44,3.28,3.25,2.65,3.4,3.3,2.41,3.11,2.98
Brazil,Serie_A,2015,04/06/2015,01:00,Sao_Paulo,Santos,3,2,H,1.9,3.64,4.45,1.95,3.8,4.85,1.86,3.38,4.16
Brazil,Serie_A,2015,04/06/2015,02:00,Avai,Atletico-MG,1,4,A,3.95,3.61,2.03,4.55,3.65,2.06,3.73,3.35,1.97
Brazil,Serie_A,2015,04/06/2015,02:00,Cruzeiro,Flamengo_RJ,1,0,H,1.93,3.55,4.49,1.94,3.85,4.85,1.83,3.41,4.26
Brazil,Serie_A,2015,04/06/2015,02:00,Gremio,Corinthians,3,1,H,2.19,3.15,4.01,2.25,3.4,4.01,2.11,3.06,3.66
Brazil,Serie_A,2015,04/06/2015,20:00,Fluminense,Coritiba,2,0,H,1.83,3.52,5.15,1.85,3.9,5.6,1.74,3.43,4.85
Brazil,Serie_A,2015,05/06/2015,01:00,Palmeiras,Internacional,1,1,D,1.88,3.61,4.68,1.95,3.85,4.7,1.87,3.38,4.1
Brazil,Serie_A,2015,05/06/2015,01:00,Sport_Recife,Goias,1,0,H,1.76,3.53,5.71,1.92,3.6,5.71,1.75,3.38,4.81
Brazil,Serie_A,2015,06/06/2015,22:30,Atletico-MG,Cruzeiro,1,3,A,1.69,3.97,5.46,1.69,4,6.2,1.63,3.7,5.22
Brazil,Serie_A,2015,06/06/2015,22:30,Flamengo_RJ,Chapecoense-SC,1,0,H,1.82,3.56,5.14,1.83,3.7,5.3,1.74,3.43,4.79
Brazil,Serie_A,2015,06/06/2015,22:30,Santos,Ponte_Preta,2,2,D,1.98,3.47,4.27,1.99,3.6,4.4,1.92,3.31,4.02
Brazil,Serie_A,2015,07/06/2015,02:00,Atletico-PR,Vasco,2,0,H,1.67,3.85,5.99,1.73,3.95,6.6,1.64,3.57,5.51
Brazil,Serie_A,2015,07/06/2015,02:00,Joinville,Corinthians,0,1,A,4.41,3.21,2.05,4.41,3.3,2.18,3.84,3.09,2.04
Brazil,Serie_A,2015,07/06/2015,02:00,Sao_Paulo,Gremio,2,0,H,1.81,3.45,5.44,1.83,3.68,5.44,1.77,3.37,4.76
Brazil,Serie_A,2015,07/06/2015,15:00,Internacional,Coritiba,2,0,H,1.67,3.85,6.05,1.67,3.85,6.5,1.6,3.63,5.74
Brazil,Serie_A,2015,07/06/2015,23:30,Figueirense,Palmeiras,2,1,H,3.42,3.32,2.32,3.5,3.32,2.35,3.22,3.11,2.26
Brazil,Serie_A,2015,07/06/2015,23:30,Fluminense,Sport_Recife,0,0,D,1.7,3.79,5.73,1.75,3.79,6.2,1.68,3.53,5.11
Brazil,Serie_A,2015,07/06/2015,23:30,Goias,Avai,0,1,A,1.82,3.53,5.23,1.84,3.53,5.6,1.78,3.32,4.74
Brazil,Serie_A,2015,10/06/2015,23:30,Atletico-MG,Santos,2,2,D,1.53,4.58,6.61,1.56,4.65,7.5,1.5,4.23,6.04
Brazil,Serie_A,2015,13/06/2015,20:30,Chapecoense-SC,Sao_Paulo,0,1,A,2.7,3.12,2.99,2.85,3.2,2.99,2.62,3.01,2.76
Brazil,Serie_A,2015,13/06/2015,20:30,Corinthians,Internacional,2,1,H,1.71,3.66,5.92,1.88,3.66,5.92,1.75,3.37,4.94
Brazil,Serie_A,2015,13/06/2015,20:30,Coritiba,Flamengo_RJ,0,1,A,2.76,3.2,2.85,2.83,3.2,3,2.6,3.04,2.75
Brazil,Serie_A,2015,14/06/2015,01:00,Sport_Recife,Joinville,2,1,H,1.62,3.94,6.49,1.7,3.94,6.95,1.58,3.66,5.92
Brazil,Serie_A,2015,14/06/2015,01:00,Vasco,Cruzeiro,1,3,A,3.22,3.22,2.48,3.3,3.4,2.7,2.92,3.07,2.46
Brazil,Serie_A,2015,14/06/2015,15:00,Ponte_Preta,Goias,0,0,D,1.6,3.91,7,1.65,4.25,7,1.58,3.7,5.84
