38,02/12,Bahia,Cruzeiro,0,0,0,0
38,02/12,Ceará,Vasco,0,0,0,0
38,02/12,Chapecoense,São Paulo,0,0,1,0
38,02/12,Fluminense,América-MG,1,0,1,0
38,02/12,Grêmio,Corinthians,1,0,1,0
38,02/12,Palmeiras,Vitória,1,0,3,2
38,02/12,Paraná,Internacional,0,0,1,1
38,02/12,Sport,Santos,0,0,2,1
38,01/12,Atlético-MG,Botafogo,1,0,1,0
38,01/12,Flamengo,Athletico-PR,1,0,1,2
37,26/11,Botafogo,Paraná,1,0,2,1
37,26/11,São Paulo,Sport,0,0,0,0
37,25/11,América-MG,Bahia,0,0,1,0
37,25/11,Corinthians,Chapecoense,0,0,0,0
37,25/11,Internacional,Fluminense,0,0,2,0
37,25/11,Athletico-PR,Ceará,0,1,2,2
37,25/11,Cruzeiro,Flamengo,0,1,0,2
37,25/11,Vasco,Palmeiras,0,0,0,1
37,25/11,Vitória,Grêmio,0,0,0,0
37,24/11,Santos,Atlético-MG,3,1,3,2
36,22/11,Bahia,Fluminense,0,0,2,0
36,22/11,Ceará,Paraná,1,0,1,0
36,22/11,Chapecoense,Sport,2,0,2,1
36,22/11,Vasco,São Paulo,1,0,2,0
36,21/11,Athletico-PR,Corinthians,0,0,1,0
36,21/11,Cruzeiro,Vitória,1,0,3,0
36,21/11,Flamengo,Grêmio,0,0,2,0
36,21/11,Palmeiras,América-MG,0,0,4,0
36,21/11,Santos,Botafogo,1,0,1,1
36,21/11,Internacional,Atlético-MG,0,1,1,2
35,19/11,Fluminense,Ceará,0,0,0,0
35,18/11,Grêmio,Chapecoense,1,0,2,0
35,18/11,São Paulo,Cruzeiro,1,0,1,0
35,18/11,América-MG,Santos,1,1,2,1
35,18/11,Botafogo,Internacional,1,0,1,0
35,18/11,Paraná,Palmeiras,1,0,1,1
35,18/11,Sport,Flamengo,0,0,0,1
35,17/11,Atlético-MG,Bahia,0,0,1,0
35,17/11,Corinthians,Vasco,0,0,1,0
35,17/11,Vitória,Athletico-PR,0,1,1,2
34,15/11,Internacional,América-MG,2,0,2,0
34,15/11,São Paulo,Grêmio,0,0,1,1
34,15/11,Chapecoense,Botafogo,0,0,0,1
34,15/11,Flamengo,Santos,0,0,1,0
34,14/11,Cruzeiro,Corinthians,1,0,1,0
34,14/11,Palmeiras,Fluminense,1,0,3,0
34,14/11,Sport,Vitória,0,0,0,0
34,14/11,Bahia,Ceará,1,1,2,1
34,14/11,Paraná,Atlético-MG,0,1,0,1
34,14/11,Vasco,Athletico-PR,0,0,1,1
33,12/11,Santos,Chapecoense,0,1,0,1
33,11/11,Fluminense,Sport,0,0,0,0
33,11/11,Atlético-MG,Palmeiras,0,0,1,1
33,11/11,Ceará,Internacional,1,1,1,1
33,11/11,Grêmio,Vasco,1,1,2,1
33,11/11,Vitória,Bahia,1,1,2,2
33,10/11,Athletico-PR,Cruzeiro,2,0,2,0
