São Paulo,Botafogo,1.78,3.39,5.61
Atlético-MG,Avaí,1.56,4.09,6.46
Chapecoense,Internacional,3.02,3.03,2.71
Flamengo,Cruzeiro,2.32,3.2,3.47
Grêmio,Santos,1.71,3.58,5.78
Athletico-PR,Vasco,1.48,4.1,8.19
Bahia,Corinthians,2.28,3.14,3.63
Ceará,CSA,1.88,3.41,4.81
Fluminense,Goiás,1.77,3.68,5.02
Palmeiras,Fortaleza,1.36,4.98,9.4
Corinthians,Chapecoense,1.66,3.3,7.5
CSA,Palmeiras,7.04,3.93,1.56
Internacional,Flamengo,2.44,3.1,3.34
Avaí,Grêmio,3.88,3.16,2.18
Cruzeiro,Ceará,1.52,3.71,8.93
Fortaleza,Athletico-PR,3.6,3.27,2.23
Goiás,São Paulo,3.1,3.04,2.63
Vasco,Atlético-MG,3.27,3.3,2.37
Santos,Fluminense,1.65,3.73,6.13
Botafogo,Bahia,2.36,3.06,3.57
Palmeiras,Internacional,1.61,3.81,6.5
Vasco,Corinthians,3.26,3.16,2.46
Ceará,Atlético-MG,2.42,3.18,3.29
Chapecoense,Athletico-PR,2.64,2.99,3.15
Botafogo,Fortaleza,1.72,4,4.87
Cruzeiro,Goiás,1.4,4.54,9.35
CSA,Santos,4.84,3.49,1.85
São Paulo,Flamengo,2.06,3.31,4.07
Bahia,Avaí,1.62,3.91,6.1
Grêmio,Fluminense,1.51,4.14,7.47
Fluminense,Botafogo,2.1,3.3,3.95
Corinthians,Grêmio,3,2.98,2.76
Goiás,Ceará,2.16,3.18,3.93
Flamengo,Chapecoense,1.43,4.39,8.7
Atlético-MG,Palmeiras,3.37,2.96,2.52
Internacional,Cruzeiro,2.1,3.11,4.26
Santos,Vasco,1.4,4.71,8.56
Athletico-PR,Bahia,1.85,3.49,4.79
Avaí,CSA,1.7,3.67,5.62
Fortaleza,São Paulo,2.97,3,2.77
Fluminense,Cruzeiro,2.65,3.04,3.08
Atlético-MG,Flamengo,2.88,3.21,2.68
Palmeiras,Santos,1.68,3.75,5.76
São Paulo,Bahia,1.83,3.41,5.1
Athletico-PR,Corinthians,2.25,3.1,3.76
Chapecoense,Fortaleza,2.41,3.01,3.52
Goiás,Botafogo,2.26,3.2,3.61
Internacional,CSA,1.22,6.05,17.04
Ceará,Grêmio,3.03,3.09,2.65
Vasco,Avaí,1.71,3.71,5.48
Botafogo,Palmeiras,8.64,4.39,1.43
Grêmio,Atlético-MG,1.63,3.95,5.85
Flamengo,Athletico-PR,1.43,4.52,8.23
Santos,Internacional,1.85,3.6,4.63
Bahia,Fluminense,1.91,3.37,4.71
Corinthians,São Paulo,2.45,2.83,3.71
Cruzeiro,Chapecoense,1.4,4.37,10.03
Fortaleza,Vasco,1.89,3.48,4.58
Avaí,Ceará,2.64,2.89,3.27
CSA,Goiás,2.84,2.9,3
Flamengo,Fortaleza,1.42,4.66,8.05
Bahia,Grêmio,2.48,2.98,3.41
Botafogo,Vasco,2.35,3.19,3.42
Athletico-PR,Fluminense,1.66,3.88,5.67
Ceará,Santos,2.84,3.21,2.73
São Paulo,Cruzeiro,2.37,2.98,3.65
Atlético-MG,CSA,1.41,4.64,8.45
Chapecoense,Palmeiras,6.2,3.54,1.68
Internacional,Avaí,1.44,4.3,8.84
Vasco,Internacional,3.12,3.14,2.53
Palmeiras,Athletico-PR,1.58,3.75,7.14
Cruzeiro,Corinthians,1.91,3.26,4.93
Grêmio,Fortaleza,1.48,4.21,7.99
Ceará,Bahia,2.65,2.96,3.16
Avaí,São Paulo,3.1,2.91,2.75
CSA,Botafogo,3.11,2.99,2.67
Fluminense,Flamengo,5,3.67,1.78
Santos,Atlético-MG,1.75,3.81,4.98
Goiás,Chapecoense,1.87,3.31,5.02
Botafogo,Grêmio,3.21,3.08,2.51
Fortaleza,Cruzeiro,3.35,3.1,2.42
CSA,Flamengo,13.92,5.83,1.25
Internacional,Bahia,1.74,3.5,5.65
Santos,Corinthians,1.72,3.5,5.9
Vasco,Ceará,2.2,3.21,3.71
Atlético-MG,São Paulo,1.97,3.31,4.49
Chapecoense,Fluminense,2.77,3.07,2.87
Goiás,Athletico-PR,2.96,3.15,2.63
Palmeiras,Avaí,1.26,5.33,16.58
Fortaleza,Avaí,2.03,3.07,4.54
Grêmio,Vasco,1.57,3.92,6.44
Bahia,Santos,2.77,3.13,2.79
São Paulo,Palmeiras,3.81,2.9,2.31
Flamengo,Goiás,1.24,6.16,12.49
Athletico-PR,Internacional,1.63,3.9,5.94
Corinthians,CSA,1.37,4.36,12.39
Cruzeiro,Botafogo,1.68,3.69,5.87
Chapecoense,Atlético-MG,2.51,3.16,3.13
Fluminense,Ceará,1.67,3.54,6.34
Vasco,Fluminense,2.43,3.21,3.21
Bahia,Cruzeiro,1.67,3.72,5.92
Ceará,Palmeiras,5.15,3.36,1.84
CSA,Athletico-PR,3.53,3.38,2.2
Internacional,Grêmio,2.29,2.92,3.92
Botafogo,Santos,3.61,3.13,2.28
Atlético-MG,Fortaleza,1.51,4.29,6.88
Corinthians,Flamengo,3.1,2.92,2.71
Avaí,Goiás,2.02,3.26,4.3
São Paulo,Chapecoense,1.53,3.87,7.92
Palmeiras,Vasco,1.47,4.05,8.75
Cruzeiro,Athletico-PR,3.8,3.18,2.18
Fluminense,São Paulo,2.49,3.14,3.18
Internacional,Ceará,1.99,3.22,4.56
Chapecoense,Bahia,2.81,3.04,2.87
Flamengo,Botafogo,1.4,4.75,8.49
Santos,Avaí,1.29,5.25,13.32
Fortaleza,Corinthians,2.53,2.96,3.31
Goiás,Atlético-MG,3.01,3.35,2.48
CSA,Grêmio,5.91,3.64,1.68
Ceará,Fortaleza,2.31,2.98,3.75
Fluminense,Internacional,1.92,3.35,4.67
Santos,Goiás,1.23,6.49,13.63
Avaí,Botafogo,2.31,2.96,3.77
Bahia,Flamengo,2.91,3.24,2.61
Atlético-MG,Cruzeiro,2.09,3.27,4.01
Corinthians,Palmeiras,3.76,2.77,2.45
Vasco,CSA,1.6,3.73,6.8
Grêmio,Chapecoense,1.29,5.34,12.25
Corinthians,Goiás,1.52,3.92,7.98
Ceará,Chapecoense,1.65,3.8,5.89
São Paulo,Santos,2.64,2.99,3.11
Flamengo,Grêmio,1.59,3.77,6.94
Atlético-MG,Fluminense,1.85,3.69,4.49
Internacional,Corinthians,1.93,3.21,4.92
Avaí,Cruzeiro,3.25,3.03,2.52
Botafogo,Athletico-PR,2.16,3.34,3.66
Palmeiras,Bahia,1.38,4.53,10.17
Goiás,Vasco,2.16,3.26,3.76
CSA,Fortaleza,3.01,3.06,2.66
Corinthians,Botafogo,1.56,3.81,7.26
Fortaleza,Internacional,2.23,3.27,3.56
Athletico-PR,Atlético-MG,1.87,3.85,4.15
Vasco,Flamengo,6.11,3.78,1.64
Grêmio,Palmeiras,2.82,3.05,2.84
Bahia,Goiás,1.48,4.25,7.71
Cruzeiro,Santos,2.81,3.09,2.82
Fluminense,CSA,1.31,5.34,10.63
São Paulo,Ceará,1.66,3.55,6.55
Chapecoense,Avaí,2.12,3.1,4.12
Athletico-PR,São Paulo,2.02,3.28,4.3
Atlético-MG,Bahia,2.07,3.21,4.16
Grêmio,Athletico-PR,2.2,3.27,3.64
Goiás,Internacional,2.6,3.13,3.02
Santos,Fortaleza,1.33,5.12,10.82
Vasco,São Paulo,2.98,2.97,2.76
Avaí,Corinthians,2.85,2.88,2.97
Ceará,Flamengo,3.24,3.29,2.37
CSA,Cruzeiro,4.33,3.28,2.01
Botafogo,Chapecoense,1.8,3.48,5.15
São Paulo,Grêmio,2.05,3.24,4.22
Bahia,CSA,1.33,4.83,12.23
Athletico-PR,Ceará,1.44,4.47,8.24
Chapecoense,Santos,4.16,3.63,1.93
Internacional,Botafogo,1.55,4.03,6.89
Flamengo,Palmeiras,2.23,3.17,3.68
Fortaleza,Goiás,1.87,3.41,4.82
Corinthians,Atlético-MG,2.22,2.9,4.17
Cruzeiro,Vasco,1.78,3.53,5.24
Fluminense,Avaí,1.54,3.94,7.24
Corinthians,Ceará,1.69,3.45,6.34
Vasco,Bahia,2.24,3.08,3.79
Avaí,Flamengo,8.98,4.43,1.42
Fortaleza,Fluminense,2.28,3.24,3.47
Internacional,São Paulo,2.55,3.02,3.22
Goiás,Palmeiras,5.91,3.56,1.7
Cruzeiro,Grêmio,2.66,3,3.08
Botafogo,Atlético-MG,3.38,3.44,2.23
Santos,Athletico-PR,1.5,4.39,6.95
CSA,Chapecoense,2.59,2.98,3.2
Palmeiras,Fluminense,1.32,5.11,11.4
Flamengo,Santos,1.58,4.04,6.25
Chapecoense,Vasco,2.83,2.97,2.9
Palmeiras,Cruzeiro,1.31,5.48,10.55
Ceará,Botafogo,1.69,3.7,5.7
Athletico-PR,Avaí,1.79,3.46,5.26
