Cruzeiro,Gremio,1.96,3.29,4.87
Vitoria,Flamengo_RJ,3.56,3.41,2.22
Santos,Ceara,1.57,4.13,6.76
America_MG,Sport_Recife,1.98,3.35,4.51
Corinthians,Fluminense,1.67,3.68,6.55
Internacional,Bahia,1.74,3.53,6.01
Vasco,Atletico-MG,2.98,3.22,2.64
Atletico-PR,Chapecoense-SC,2.14,3.25,4.02
Botafogo_RJ,Palmeiras,3.89,3.37,2.12
Sao_Paulo,Parana,1.47,4.35,8.75
Bahia,Santos,2.31,3.27,3.48
Flamengo_RJ,America_MG,1.45,4.58,8.58
Parana,Corinthians,4.15,2.96,2.24
Atletico-MG,Vitoria,1.56,4.33,6.6
Ceara,Sao_Paulo,3.03,3.26,2.58
Chapecoense-SC,Vasco,1.91,3.47,4.69
Fluminense,Cruzeiro,2.71,3.22,2.9
Palmeiras,Internacional,1.63,3.83,6.74
Gremio,Atletico-PR,1.62,3.83,6.88
Sport_Recife,Botafogo_RJ,2.27,3.26,3.59
Botafogo_RJ,Gremio,2.59,3.09,3.17
Atletico-MG,Corinthians,1.99,3.39,4.37
Bahia,Atletico-PR,2.03,3.4,4.2
Ceara,Flamengo_RJ,3.32,3.21,2.42
Fluminense,Sao_Paulo,2.55,3.26,3.06
Palmeiras,Chapecoense-SC,1.33,5.19,12.11
Parana,Sport_Recife,2.29,3.28,3.52
Internacional,Cruzeiro,1.93,3.28,4.9
America_MG,Vitoria,2.06,3.25,4.22
Sao_Paulo,Atletico-MG,2.09,3.38,3.87
Vasco,America_MG,2.11,3.2,4.07
Corinthians,Ceara,1.68,3.56,6.45
Atletico-PR,Palmeiras,3.2,3.25,2.42
Cruzeiro,Botafogo_RJ,1.47,4.43,7.85
Flamengo_RJ,Internacional,1.76,3.58,5.24
Vitoria,Fluminense,2.07,3.61,3.68
Gremio,Santos,1.63,3.89,6.16
Sport_Recife,Bahia,2.24,3.39,3.42
Chapecoense-SC,Parana,1.78,3.43,5.63
Gremio,Internacional,1.9,3.08,5.5
Cruzeiro,Sport_Recife,1.43,4.69,8.41
Atletico-PR,Atletico-MG,2.42,3.3,3.16
Bahia,Sao_Paulo,2.39,3.13,3.39
Chapecoense-SC,Flamengo_RJ,3.08,3.1,2.57
Corinthians,Palmeiras,3.13,2.96,2.68
Vasco,Vitoria,1.88,3.58,4.47
Santos,Parana,1.6,3.75,7.18
Botafogo_RJ,Fluminense,2.58,3.1,3.09
Ceara,America_MG,1.98,3.42,4.24
Atletico-MG,Cruzeiro,2.01,3.43,4.12
Flamengo_RJ,Vasco,1.62,3.99,6.09
Palmeiras,Bahia,1.4,4.62,9.45
Vitoria,Ceara,1.96,3.51,4.19
America_MG,Botafogo_RJ,2.32,3.22,3.42
Parana,Gremio,4.94,3.55,1.83
Sao_Paulo,Santos,2.08,3.28,4.01
Sport_Recife,Corinthians,2,3.35,4.26
Fluminense,Atletico-PR,1.93,3.51,4.35
Internacional,Chapecoense-SC,1.64,3.7,6.52
Fluminense,Chapecoense-SC,1.91,3.28,4.85
