2017|Santos|3|4|8|10|14|19|20|21|24|34| [10]
2017|Sao Paulo|1|4|7|9|11|14|27|35|36| [9]
2017|Sport|1|4|7|16|20|21|22|23|24|26|34| [11]
2017|Vasco|1|4|12|14|15|17|18|19|21|24|31| [11]
2017|Vitoria|1|2|3|5|9|11|17|20| [8]
2018|America-MG|2|8|11|12|14|17|18|19|22|24|25|27|28|29|31|33|34|36|38| [19]
2018|Atletico-MG|7|13|17|20|21|25|28|29|30|32| [10]
2018|Athletico-PR|2|3|6|7|10|11|12|17|18|23|27|30| [12]
2018|Bahia|1|3|4|6|8|9|10|20|21|22|24|27|35|37|38| [15]
2018|Botafogo|4|6|10|13|14|16|17|19|20|22|24|29|30|38| [14]
2018|Ceara|1|2|3|7|8|9|10|14|15|18|21|24|29|32|35|38| [16]
2018|Chapecoense|3|6|10|12|14|15|19|24|29|30|32|34|35|37| [14]
2018|Corinthians|3|9|11|12|17|19|20|24|27|28|29|32|34|36|37|38| [16]
2018|Cruzeiro|1|2|3|6|11|15|16|18|22|24|25|28|29|33|35|37|38| [17]
2018|Flamengo|13|17|19|22|27| [5]
2018|Fluminense|8|10|12|16|18|19|23|27|29|31|32|33|34|35|36|37| [16]
2018|Gremio|2|5|6|8|10|12|14|23|24|29|36|37| [12]
2018|Internacional|2|3|4|5|9|10|21|22|35| [9]
2018|Palmeiras|3|5|8|15|17|21| [6]
2018|Parana|1|2|6|7|8|11|13|15|16|17|19|21|22|24|25|26|28|29|30|34|36| [21]
2018|Santos|2|6|7|8|14|16|17|23|25|33|34| [11]
2018|Sao Paulo|2|10|23|25|28|30|36|37|38| [9]
2018|Sport|1|5|9|12|13|15|19|20|21|23|24|26|29|33|34|35|37| [17]
2018|Vasco|7|15|18|20|22|24|35|37|38| [9]
2018|Vitoria|11|12|16|18|19|20|23|25|28|31|34|36|37| [13]
2019|Athletico-PR|5|8|13|19|25|31|38| [7]
2019|Atletico-MG|4|6|12|15|16|17|20|28|29|32|34| [11]
2019|Avai|3|4|7|8|9|10|11|13|15|18|22|24|25|26|27|30|32|33|34|35|38| [21]
2019|Bahia|4|5|8|10|11|12|24|25|29| [9]
2019|Botafogo|1|5|6|9|10|11|15|16|19|21|22|23|25|28|29|31|33|36|37| [19]
2019|Ceara|2|7|8|9|12|15|16|17|19|20|21|23|30|32|33|37| [16]
2019|Chapecoense|2|11|12|16|17|18|20|21|23|24|26|30|32|35|36| [15]
2019|Corinthians|4|8|9|14|19|23|25|28|33|34| [10]
2019|Cruzeiro|8|10|11|12|13|19|21|22|24|31|32|33|35|36|37|38| [16]
2019|CSA|1|3|4|5|7|9|10|11|12|13|14|17|22|25|28|30|32|33|34|37| [20]
2019|Flamengo|8|13|22|38| [4]
2019|Fluminense|1|4|7|8|15|16|17|20|24|27|29|30|37| [13]
2019|Fortaleza|1|3|4|7|8|15|18|20|25|37| [10]
2019|Goias|6|7|11|12|14|17|19|31|32| [9]
2019|Gremio|4|7|12|17|23|26|33|35| [8]
2019|Internacional|1|3|6|10|14|24|25|27|30|31|33| [11]
2019|Palmeiras|11|17|24|35| [4]
2019|Santos|3|5|6|15|19|20|25|27|28|37| [10]
2019|Sao Paulo|5|6|8|16|17|18|21|22|24|26|29|31|32|36| [14]
2019|Vasco|4|7|13|17|18|22|23|24|30|35| [10]
2020|Athletico-PR|4|5|8|11|14|16|19|23|25|29|31|34|37| [13]
2020|Atletico-GO|1|4|5|6|13|14|18|19|23|24|28|34| [12]
2020|Atletico-MG|5|6|18|19|26|34|35| [7]
2020|Bahia|5|9|10|12|15|22|24|25|32|33|34| [11]
2020|Botafogo|3|6|7|11|17|18|20|24|27|28|29|32|34|36| [14]
2020|Bragantino|6|13|14|23|24|26|27|36|37| [9]
2020|Ceara|3|4|8|9|14|20|28|33| [8]
2020|Corinthians|1|3|9|12|13|22|24|28|32|33|37|38| [12]
2020|Coritiba|1|2|3|7|8|10|12|15|23|24|25|27|29|36|37| [15]
2020|Flamengo|1|2|10|20|27|29| [6]
2020|Fluminense|1|11|20|21|23|29|35| [7]
2020|Fortaleza|1|2|3|7|13|15|16|19|24|26|27|28|29|32|33|36|37|38| [18]
2020|Goias|1|15|17|18|21|25|29|30|31|33|37| [11]
2020|Gremio|3|5|17|22|25|29|38| [7]
2020|Internacional|10|11|19|21|23|34|38| [7]
2020|Palmeiras|15|17|22|26|31|35|38| [7]
2020|Santos|2|6|11|16|22|26|28|31|38| [9]
2020|Sao Paulo|7|17|25|29|37| [5]
2020|Sport|2|4|5|6|9|14|17|18|20|21|22|24|27|29|30|31|33|36|38| [19]
2020|Vasco|5|11|14|16|17|20|24|27|28|30|33|34|35|36|37| [15]
