Chapecoense,Coritiba,2.21,3.24,3.77
Palmeiras,Atlético-MG,1.72,3.72,5.76
Fluminense,Joinville,1.62,3.89,6.69
Grêmio,Ponte Preta,1.64,3.71,6.64
Athletico-PR,Internacional,2.19,3.31,3.74
Cruzeiro,Corinthians,2.84,3.24,2.74
São Paulo,Flamengo,2.23,3.38,3.6
Sport,Figueirense,1.71,3.66,5.91
Avaí,Santos,3.82,3.47,2.11
Vasco,Goiás,1.66,3.72,6.46
Coritiba,Grêmio,2.6,3.18,3.06
Goiás,Athletico-PR,2.3,3.21,3.6
Corinthians,Chapecoense,1.71,3.68,5.95
Figueirense,Vasco,2.58,3.18,3.08
Atlético-MG,Fluminense,2.04,3.43,4.1
Flamengo,Sport,1.68,3.89,5.7
Santos,Cruzeiro,1.88,3.57,4.7
Internacional,Avaí,1.76,3.9,5.01
Joinville,Palmeiras,3.3,3.21,2.43
Ponte Preta,São Paulo,3.11,3.25,2.53
São Paulo,Joinville,1.48,4.21,8.78
Vasco,Internacional,1.89,3.46,4.81
Grêmio,Figueirense,1.53,4.1,7.9
Palmeiras,Goiás,1.63,3.91,6.64
Athletico-PR,Atlético-MG,3.68,3.35,2.2
Avaí,Flamengo,2.96,3.16,2.73
Chapecoense,Santos,2.81,3.17,2.83
Fluminense,Corinthians,2.77,3.17,2.87
Cruzeiro,Ponte Preta,2.39,3.34,3.25
Sport,Coritiba,1.82,3.57,5.1
Coritiba,Avaí,1.69,3.74,5.95
Ponte Preta,Chapecoense,1.9,3.58,4.53
Joinville,Athletico-PR,2.41,3.26,3.3
Santos,Sport,1.53,4.32,7.2
Atlético-MG,Vasco,1.42,4.79,8.92
Corinthians,Palmeiras,2.11,3.26,4.1
Goiás,Grêmio,2.92,3.1,2.77
Internacional,São Paulo,2.48,3.34,3.09
Figueirense,Cruzeiro,3.02,3.22,2.61
Flamengo,Fluminense,2.4,3.33,3.25
Athletico-PR,Figueirense,1.65,3.66,6.83
Chapecoense,Joinville,1.65,3.73,6.65
Vasco,Ponte Preta,2.44,3.28,3.25
São Paulo,Santos,1.9,3.64,4.45
Avaí,Atlético-MG,3.95,3.61,2.03
Cruzeiro,Flamengo,1.93,3.55,4.49
Grêmio,Corinthians,2.19,3.15,4.01
Fluminense,Coritiba,1.83,3.52,5.15
Palmeiras,Internacional,1.88,3.61,4.68
Sport,Goiás,1.76,3.53,5.71
Atlético-MG,Cruzeiro,1.69,3.97,5.46
Flamengo,Chapecoense,1.82,3.56,5.14
Santos,Ponte Preta,1.98,3.47,4.27
Athletico-PR,Vasco,1.67,3.85,5.99
Joinville,Corinthians,4.41,3.21,2.05
São Paulo,Grêmio,1.81,3.45,5.44
Internacional,Coritiba,1.67,3.85,6.05
Figueirense,Palmeiras,3.42,3.32,2.32
Fluminense,Sport,1.7,3.79,5.73
Goiás,Avaí,1.82,3.53,5.23
Atlético-MG,Santos,1.53,4.58,6.61
