Flamengo,Atlético-MG,1.91,3.7,4.34
Corinthians,Chapecoense,1.37,4.85,10.91
Fluminense,Santos,2.01,3.75,3.83
Avaí,Vitória,2.39,3.31,3.29
Bahia,Athletico-PR,1.73,3.61,5.91
Cruzeiro,São Paulo,2.04,3.29,4.32
Palmeiras,Vasco,1.42,4.96,8.52
Ponte Preta,Sport,1.63,4.02,6.24
Grêmio,Botafogo,1.72,3.69,5.77
Coritiba,Atlético-GO,1.63,3.79,6.75
Santos,Coritiba,1.6,4.14,6.3
Atlético-GO,Flamengo,4.42,3.52,1.94
Chapecoense,Palmeiras,3.18,3.42,2.39
Vasco,Bahia,1.88,3.65,4.58
Atlético-MG,Fluminense,1.68,4.22,5.21
Athletico-PR,Grêmio,2.63,3.13,3.07
Vitória,Corinthians,3.25,3.36,2.38
Botafogo,Ponte Preta,2.14,3.34,3.88
Sport,Cruzeiro,2.73,3.21,2.88
São Paulo,Avaí,1.33,5.3,11.75
Vasco,Fluminense,2.74,3.47,2.69
São Paulo,Palmeiras,2.57,3.28,3.01
Vitória,Coritiba,2.23,3.32,3.63
Atlético-MG,Ponte Preta,1.55,4.17,7.15
Atlético-GO,Corinthians,4.28,3.4,2.01
Athletico-PR,Flamengo,2.99,3.32,2.53
Santos,Cruzeiro,1.96,3.58,4.25
Sport,Grêmio,1.94,3.41,4.62
Botafogo,Bahia,2.06,3.33,4.04
Chapecoense,Avaí,1.6,3.85,7.16
Coritiba,Athletico-PR,1.93,3.36,4.8
Fluminense,Vitória,1.58,4.22,6.46
Corinthians,Santos,1.75,3.7,5.51
Avaí,Sport,2.47,3.22,3.22
Flamengo,Botafogo,1.65,3.81,6.45
Grêmio,Vasco,1.4,4.83,9.55
Palmeiras,Atlético-MG,1.76,3.83,5.14
Ponte Preta,São Paulo,2.45,3.29,3.19
Cruzeiro,Chapecoense,1.56,3.95,7.79
Bahia,Atlético-GO,1.48,4.69,7.37
Fluminense,Athletico-PR,1.71,3.88,5.46
Atlético-MG,Avaí,1.32,5.54,11.57
Coritiba,Palmeiras,2.56,3.2,3.1
Santos,Botafogo,1.75,3.85,5.18
Sport,Flamengo,3.23,3.33,2.4
Vasco,Corinthians,2.6,3.31,2.96
Atlético-GO,Ponte Preta,3.19,3.45,2.37
São Paulo,Vitória,1.43,4.58,9.44
Chapecoense,Grêmio,2.57,3.22,3.07
Bahia,Cruzeiro,2.37,3.27,3.36
Palmeiras,Fluminense,1.54,4.21,7.19
Vasco,Sport,1.77,3.8,5.06
Botafogo,Coritiba,2.08,3.26,4.22
Avaí,Flamengo,3.75,3.33,2.18
Corinthians,São Paulo,2,3.27,4.55
Ponte Preta,Chapecoense,1.88,3.51,4.81
Vitória,Atlético-MG,2.61,3.45,2.84
Cruzeiro,Atlético-GO,1.38,4.87,10.23
Athletico-PR,Santos,2.12,3.31,3.97
Grêmio,Bahia,1.53,4.15,7.76
Atlético-GO,Avaí,1.97,3.38,4.52
Atlético-MG,Athletico-PR,1.6,4.11,6.36
Sport,São Paulo,2.47,3.35,3.11
Vitória,Botafogo,2.33,3.29,3.42
Flamengo,Ponte Preta,1.56,4.2,6.95
Chapecoense,Vasco,1.76,3.71,5.31
Corinthians,Cruzeiro,1.91,3.48,4.68
Santos,Palmeiras,2.25,3.44,3.44
Coritiba,Bahia,1.92,3.45,4.67
Fluminense,Grêmio,2.54,3.31,3.03
Atlético-GO,Athletico-PR,2.32,3.32,3.42
Vasco,Avaí,1.46,4.4,8.77
Santos,Ponte Preta,1.76,3.64,5.47
Coritiba,Corinthians,2.81,3.13,2.86
Bahia,Palmeiras,2.47,3.27,3.17
Chapecoense,Botafogo,1.85,3.54,4.91
Fluminense,Flamengo,3.87,3.5,2.08
São Paulo,Atlético-MG,1.68,3.99,5.55
Sport,Vitória,1.69,3.78,5.89
Cruzeiro,Grêmio,2.54,3.26,3.08
Vitória,Santos,2.44,3.31,3.2
Botafogo,Vasco,2.08,3.45,3.93
Palmeiras,Atlético-GO,1.25,6.21,15.6
Atlético-MG,Sport,1.46,4.7,7.75
Athletico-PR,São Paulo,2.58,3.11,3.17
Avaí,Fluminense,3.17,3.24,2.5
Corinthians,Bahia,1.53,4.15,7.53
Ponte Preta,Cruzeiro,2.19,3.33,3.72
Flamengo,Chapecoense,1.5,4.42,7.69
Grêmio,Coritiba,1.55,4.18,7.06
Santos,Sport,1.44,4.55,8.98
Vasco,Atlético-GO,1.56,4.2,6.95
Athletico-PR,Vitória,1.85,3.59,4.85
Cruzeiro,Coritiba,1.59,3.99,6.85
Grêmio,Corinthians,1.88,3.44,4.93
Ponte Preta,Palmeiras,2.81,3.36,2.7
São Paulo,Fluminense,1.71,3.95,5.3
Bahia,Flamengo,2.74,3.41,2.73
Chapecoense,Atlético-MG,1.74,3.92,5.16
Botafogo,Avaí,1.43,4.38,10.2
Palmeiras,Grêmio,1.92,3.47,4.66
Atlético-GO,Santos,2.72,3.29,2.83
Atlético-MG,Cruzeiro,2.49,3.41,3.03
Corinthians,Botafogo,1.55,4.16,7.19
Flamengo,São Paulo,1.61,4.08,6.28
Sport,Athletico-PR,1.67,3.78,6.19
Vitória,Bahia,2.57,3.3,3
Avaí,Ponte Preta,2.93,3.01,2.84
Coritiba,Vasco,1.93,3.45,4.52
Fluminense,Chapecoense,1.74,3.74,5.5
Atlético-GO,Vitória,2.17,3.3,3.84
Vasco,Flamengo,3.99,3.53,2.04
Corinthians,Ponte Preta,1.72,3.68,5.74
Chapecoense,Athletico-PR,1.88,3.56,4.76
Bahia,Fluminense,2.22,3.6,3.37
Cruzeiro,Palmeiras,2.14,3.21,4.06
Grêmio,Avaí,1.21,6.99,18.91
Botafogo,Atlético-MG,2.03,3.47,4.07
Santos,São Paulo,2.32,3.39,3.33
Coritiba,Sport,1.78,3.57,5.52
Atlético-MG,Santos,1.63,4.03,6.16
Ponte Preta,Bahia,1.91,3.44,4.73
Fluminense,Botafogo,2.1,3.34,4.03
Athletico-PR,Cruzeiro,2.73,3.33,2.79
Palmeiras,Corinthians,2.24,3.4,3.52
Vitória,Vasco,1.89,3.73,4.38
Flamengo,Grêmio,1.88,3.65,4.57
São Paulo,Atlético-GO,1.39,5,9.24
Sport,Chapecoense,1.96,3.64,4.15
Avaí,Coritiba,2.73,3.17,2.91
Corinthians,Athletico-PR,1.5,4.32,8
Palmeiras,Vitória,1.28,5.95,13.3
Atlético-GO,Atlético-MG,3.35,3.55,2.25
Chapecoense,São Paulo,2.74,3.34,2.78
Cruzeiro,Flamengo,2.44,3.33,3.18
Grêmio,Ponte Preta,1.53,4.24,7.34
Vasco,Santos,2.51,3.39,3.01
Bahia,Avaí,1.5,4.19,8.5
Coritiba,Fluminense,2.06,3.51,3.93
Botafogo,Sport,2.01,3.45,4.23
Santos,Chapecoense,1.72,3.84,5.44
Vitória,Grêmio,3.14,3.38,2.43
Avaí,Corinthians,4.35,3.34,2.02
Ponte Preta,Coritiba,1.96,3.41,4.52
Atlético-MG,Bahia,1.79,3.63,5.18
Flamengo,Palmeiras,1.8,3.78,4.86
São Paulo,Vasco,1.55,4.35,6.71
Fluminense,Cruzeiro,2.51,3.41,3
Sport,Atlético-GO,1.49,4.44,7.77
Athletico-PR,Botafogo,2.29,3.2,3.62
Vitória,Chapecoense,2.16,3.51,3.6
Flamengo,Coritiba,1.4,4.86,9.31
Santos,Bahia,1.99,3.41,4.35
Avaí,Cruzeiro,4.17,3.35,2.05
Fluminense,Corinthians,2.82,3.36,2.68
Sport,Palmeiras,2.2,3.53,3.48
Atlético-GO,Botafogo,2.44,3.15,3.36
Atlético-MG,Vasco,1.74,3.83,5.35
Athletico-PR,Ponte Preta,2.29,3.26,3.55
São Paulo,Grêmio,2.4,3.34,3.24
Botafogo,São Paulo,2.56,3.32,3
Palmeiras,Avaí,1.31,5.45,12.4
Chapecoense,Atlético-GO,1.55,4.27,6.83
Bahia,Sport,1.63,3.93,6.31
Corinthians,Flamengo,2.58,3.19,3.08
Coritiba,Atlético-MG,2.41,3.25,3.3
Cruzeiro,Vitória,1.43,4.73,8.67
Grêmio,Santos,1.7,3.64,6.09
Vasco,Athletico-PR,2.57,3.05,3.24
Chapecoense,Bahia,1.94,3.49,4.5
Sport,Fluminense,1.81,3.76,4.8
Atlético-MG,Corinthians,2.26,3.38,3.49
Vitória,Ponte Preta,2.31,3.4,3.36
Atlético-GO,Grêmio,3.7,3.48,2.14
Botafogo,Palmeiras,2.86,3.19,2.77
Santos,Flamengo,3,3.27,2.59
Athletico-PR,Avaí,1.71,3.56,6.24
São Paulo,Coritiba,1.41,4.74,9.69
Vasco,Cruzeiro,3.44,3.18,2.38
Corinthians,Sport,1.51,4.25,7.98
Fluminense,Atlético-GO,1.64,4.18,5.7
Flamengo,Vitória,1.3,5.72,12
Bahia,São Paulo,2.73,3.41,2.73
Coritiba,Chapecoense,1.87,3.59,4.72
Cruzeiro,Botafogo,1.49,4.28,8.37
Grêmio,Atlético-MG,1.65,4.02,5.87
Palmeiras,Athletico-PR,1.65,3.89,6.25
Avaí,Santos,3.43,3.33,2.31
Ponte Preta,Vasco,1.68,3.78,6.03
Ponte Preta,Fluminense,2.28,3.49,3.33
Atlético-GO,Coritiba,2.36,3.26,3.39
Vitória,Avaí,1.65,4.03,5.88
São Paulo,Cruzeiro,1.98,3.34,4.52
Atlético-MG,Flamengo,2.59,3.31,2.98
Sport,Ponte Preta,1.68,3.91,5.72
Vasco,Palmeiras,3.6,3.3,2.25
Athletico-PR,Bahia,2.05,3.37,4.16
Botafogo,Grêmio,2.54,3.27,3.07
Santos,Fluminense,1.99,3.64,3.94
Corinthians,Vitória,1.42,4.77,9
Flamengo,Atlético-GO,1.42,4.87,8.56
Grêmio,Athletico-PR,1.96,3.25,4.8
Avaí,São Paulo,4.04,3.32,2.1
Bahia,Vasco,1.92,3.57,4.49
Cruzeiro,Sport,1.7,3.86,5.58
Ponte Preta,Botafogo,1.72,3.61,5.93
Coritiba,Santos,2.53,3.28,3.08
Palmeiras,Chapecoense,1.51,4.27,7.88
Fluminense,Atlético-MG,2.28,3.41,3.46
Chapecoense,Corinthians,2.84,3.12,2.84
Fluminense,Vasco,2.11,3.34,3.9
Corinthians,Atlético-GO,1.37,4.93,10.8
Bahia,Botafogo,2.05,3.47,4
Flamengo,Athletico-PR,1.54,4.26,7.1
Palmeiras,São Paulo,2.09,3.43,3.94
Ponte Preta,Atlético-MG,2.57,3.3,3
Avaí,Chapecoense,2.72,3.02,3.06
Cruzeiro,Santos,1.8,3.64,5.16
Coritiba,Vitória,2.14,3.45,3.72
Grêmio,Sport,1.74,3.64,5.75
Atlético-MG,Palmeiras,2.09,3.55,3.78
Vasco,Grêmio,3.15,3.19,2.54
São Paulo,Ponte Preta,1.72,3.84,5.41
Athletico-PR,Coritiba,1.83,3.45,5.31
Santos,Corinthians,2.52,3.22,3.15
Sport,Avaí,1.47,4.29,8.83
Vitória,Fluminense,2.31,3.43,3.34
Botafogo,Flamengo,3.56,3.36,2.24
Chapecoense,Cruzeiro,3.35,3.19,2.42
Atlético-GO,Bahia,2.63,3.17,3.04
Botafogo,Santos,2.02,3.35,4.3
Ponte Preta,Atlético-GO,1.64,3.83,6.51
Avaí,Atlético-MG,3.9,3.31,2.14
Athletico-PR,Fluminense,1.74,3.75,5.45
Corinthians,Vasco,1.57,4.03,7.09
Flamengo,Sport,1.47,4.61,7.79
Grêmio,Chapecoense,1.65,3.83,6.27
Vitória,São Paulo,2.59,3.38,2.92
Cruzeiro,Bahia,1.52,4.17,7.85
Palmeiras,Coritiba,1.43,4.68,9.06
Flamengo,Avaí,1.42,4.73,9.31
Santos,Athletico-PR,1.97,3.43,4.42
São Paulo,Corinthians,2.31,3.32,3.45
Atlético-GO,Cruzeiro,2.87,3.31,2.67
Chapecoense,Ponte Preta,1.93,3.4,4.72
Coritiba,Botafogo,2.4,3.1,3.5
Fluminense,Palmeiras,3.17,3.47,2.37
Atlético-MG,Vitória,1.53,4.52,6.66
Bahia,Grêmio,2.43,3.19,3.33
Sport,Vasco,1.85,3.63,4.78
Bahia,Coritiba,1.93,3.52,4.51
Vasco,Chapecoense,2.1,3.32,4.05
Palmeiras,Santos,1.64,3.9,6.28
Avaí,Atlético-GO,2.22,3.33,3.64
Botafogo,Vitória,1.78,3.72,5.18
Cruzeiro,Corinthians,2.14,3.3,3.91
Grêmio,Fluminense,1.7,3.84,5.62
São Paulo,Sport,1.6,4.28,6.04
Athletico-PR,Atlético-MG,2.25,3.4,3.47
Ponte Preta,Flamengo,3.61,3.2,2.29
Cruzeiro,Ponte Preta,1.63,3.84,6.68
Athletico-PR,Atlético-GO,1.6,4.17,6.29
Botafogo,Chapecoense,1.76,3.67,5.43
Corinthians,Coritiba,1.56,4.15,6.9
Atlético-MG,São Paulo,2.18,3.58,3.47
Avaí,Vasco,2.64,3.13,3.06
Grêmio,Cruzeiro,2.01,3.3,4.44
Flamengo,Fluminense,1.65,4.15,5.7
Ponte Preta,Santos,2.4,3.22,3.37
Vitória,Sport,2.31,3.56,3.23
Palmeiras,Bahia,1.57,4.13,6.79
Vasco,Botafogo,2.79,3.15,2.86
São Paulo,Athletico-PR,1.83,3.67,4.83
Atlético-GO,Palmeiras,4.1,3.54,2.01
Chapecoense,Flamengo,3.71,3.36,2.18
Fluminense,Avaí,1.68,3.79,6.05
Sport,Atlético-MG,2.26,3.53,3.34
Bahia,Corinthians,2.63,3.24,2.96
Coritiba,Grêmio,3.37,3.18,2.42
Santos,Vitória,1.67,4.01,5.71
Atlético-GO,Vasco,2.65,3.29,2.91
Coritiba,Cruzeiro,3.52,3.25,2.31
Atlético-MG,Chapecoense,1.52,4.54,6.9
Avaí,Botafogo,2.85,3.12,2.83
Corinthians,Grêmio,2.18,3.21,3.91
Fluminense,São Paulo,2.79,3.46,2.65
Palmeiras,Ponte Preta,1.47,4.3,8.79
Vitória,Athletico-PR,2.29,3.37,3.44
Flamengo,Bahia,1.48,4.44,8.03
Sport,Santos,1.99,3.69,3.96
Vasco,Coritiba,2.05,3.37,4.15
Athletico-PR,Sport,1.87,3.67,4.6
Bahia,Vitória,2.14,3.42,3.78
Cruzeiro,Atlético-MG,2.05,3.33,4.25
Grêmio,Palmeiras,2.92,3.07,2.8
Santos,Atlético-GO,1.53,4.39,7.05
São Paulo,Flamengo,2.46,3.35,3.14
Chapecoense,Fluminense,2.04,3.61,3.9
Ponte Preta,Avaí,1.69,3.62,6.27
Botafogo,Corinthians,2.76,3.1,2.94
São Paulo,Santos,1.97,3.52,4.3
Flamengo,Vasco,1.7,3.83,5.62
Athletico-PR,Chapecoense,1.82,3.71,4.86
Atlético-MG,Botafogo,1.68,3.93,5.67
Fluminense,Bahia,2.17,3.46,3.63
Ponte Preta,Corinthians,3.44,3.29,2.32
Sport,Coritiba,1.87,3.59,4.71
Vitória,Atlético-GO,1.61,4.38,5.66
Avaí,Grêmio,2.46,3.09,3.39
Palmeiras,Cruzeiro,1.76,3.8,5.16
Santos,Atlético-MG,2.34,3.6,3.13
Atlético-GO,São Paulo,3.65,3.61,2.11
Botafogo,Fluminense,2.03,3.44,4.13
Coritiba,Avaí,1.76,3.68,5.38
Corinthians,Palmeiras,2.42,3.21,3.34
Cruzeiro,Athletico-PR,1.86,3.42,5.09
Grêmio,Flamengo,2.38,3.16,3.49
Bahia,Ponte Preta,1.75,3.69,5.47
Chapecoense,Sport,2.29,3.33,3.46
Vasco,Vitória,2.15,3.49,3.65
Avaí,Bahia,2.9,3.17,2.75
Ponte Preta,Grêmio,2.3,3.22,3.57
Athletico-PR,Corinthians,2.49,3.16,3.25
Sport,Botafogo,2.03,3.53,4.01
Flamengo,Cruzeiro,1.75,3.75,5.36
Santos,Vasco,1.57,4.24,6.54
Vitória,Palmeiras,2.88,3.51,2.54
Atlético-MG,Atlético-GO,1.33,5.57,10.87
São Paulo,Chapecoense,1.61,3.99,6.53
Fluminense,Coritiba,1.99,3.5,4.21
Botafogo,Athletico-PR,2.1,3.38,3.94
Corinthians,Avaí,1.46,4.52,8.37
Atlético-GO,Sport,3.29,3.5,2.3
Grêmio,Vitória,1.95,3.64,4.16
Palmeiras,Flamengo,2.03,3.62,3.9
Vasco,São Paulo,3.02,3.29,2.57
Bahia,Atlético-MG,2.15,3.57,3.57
Coritiba,Ponte Preta,1.85,3.65,4.76
Cruzeiro,Fluminense,1.68,3.81,5.96
Chapecoense,Santos,2.43,3.24,3.28
Ponte Preta,Athletico-PR,2.12,3.35,3.93
Cruzeiro,Avaí,1.53,4.25,7.23
Grêmio,São Paulo,2.04,3.31,4.32
Corinthians,Fluminense,1.58,4.01,6.93
Vasco,Atlético-MG,2.77,3.33,2.76
Botafogo,Atlético-GO,1.5,4.43,7.51
Chapecoense,Vitória,2.6,3.3,2.96
Palmeiras,Sport,1.57,4.47,6.09
Bahia,Santos,1.93,3.53,4.35
Coritiba,Flamengo,3.11,3.27,2.51
Atlético-GO,Chapecoense,2.5,3.44,2.99
Flamengo,Corinthians,1.67,3.89,5.88
São Paulo,Botafogo,2.18,3.38,3.71
Sport,Bahia,1.88,3.98,4.15
Vitória,Cruzeiro,1.89,3.76,4.36
Atlético-MG,Coritiba,1.55,4.42,6.54
Athletico-PR,Vasco,2.03,3.39,4.21
Santos,Grêmio,1.5,4.4,7.62
Fluminense,Ponte Preta,1.88,3.46,4.9
Avaí,Palmeiras,4.04,3.56,1.99
Fluminense,Sport,2.21,3.5,3.49
Avaí,Athletico-PR,2.77,3.4,2.7
Corinthians,Atlético-MG,2.22,3.56,3.42
Coritiba,São Paulo,2,3.5,4.16
Cruzeiro,Vasco,1.97,3.52,4.21
Grêmio,Atlético-GO,1.78,3.64,5.28
Ponte Preta,Vitória,2.18,3.63,3.43
Bahia,Chapecoense,1.73,4.01,5.04
Flamengo,Santos,1.61,3.96,6.59
Palmeiras,Botafogo,1.72,3.91,5.29
Atlético-GO,Fluminense,2.33,3.63,3.12
Atlético-MG,Grêmio,1.27,6.34,12.91
Athletico-PR,Palmeiras,2.88,3.61,2.49
Botafogo,Cruzeiro,1.77,3.62,5.44
Chapecoense,Coritiba,2.18,3.56,3.48
Santos,Avaí,2.05,3.79,3.67
São Paulo,Bahia,1.71,4.07,5.12
Sport,Corinthians,1.38,5.36,8.71
Vasco,Ponte Preta,1.36,5.25,10.2
Vitória,Flamengo,2.27,3.59,3.27
