Cruzeiro,Grêmio,1.96,3.29,4.87
Vitória,Flamengo,3.56,3.41,2.22
Santos,Ceará,1.57,4.13,6.76
América-MG,Sport,1.98,3.35,4.51
Corinthians,Fluminense,1.67,3.68,6.55
Internacional,Bahia,1.74,3.53,6.01
Vasco,Atlético-MG,2.98,3.22,2.64
Athletico-PR,Chapecoense,2.14,3.25,4.02
Botafogo,Palmeiras,3.89,3.37,2.12
São Paulo,Paraná,1.47,4.35,8.75
Bahia,Santos,2.31,3.27,3.48
Flamengo,América-MG,1.45,4.58,8.58
Paraná,Corinthians,4.15,2.96,2.24
Atlético-MG,Vitória,1.56,4.33,6.6
Ceará,São Paulo,3.03,3.26,2.58
Chapecoense,Vasco,1.91,3.47,4.69
Fluminense,Cruzeiro,2.71,3.22,2.9
Palmeiras,Internacional,1.63,3.83,6.74
Grêmio,Athletico-PR,1.62,3.83,6.88
Sport,Botafogo,2.27,3.26,3.59
Botafogo,Grêmio,2.59,3.09,3.17
Atlético-MG,Corinthians,1.99,3.39,4.37
Bahia,Athletico-PR,2.03,3.4,4.2
Ceará,Flamengo,3.32,3.21,2.42
Fluminense,São Paulo,2.55,3.26,3.06
Palmeiras,Chapecoense,1.33,5.19,12.11
Paraná,Sport,2.29,3.28,3.52
Internacional,Cruzeiro,1.93,3.28,4.9
América-MG,Vitória,2.06,3.25,4.22
São Paulo,Atlético-MG,2.09,3.38,3.87
Vasco,América-MG,2.11,3.2,4.07
Corinthians,Ceará,1.68,3.56,6.45
Athletico-PR,Palmeiras,3.2,3.25,2.42
Cruzeiro,Botafogo,1.47,4.43,7.85
Flamengo,Internacional,1.76,3.58,5.24
Vitória,Fluminense,2.07,3.61,3.68
Grêmio,Santos,1.63,3.89,6.16
Sport,Bahia,2.24,3.39,3.42
Chapecoense,Paraná,1.78,3.43,5.63
Grêmio,Internacional,1.9,3.08,5.5
Cruzeiro,Sport,1.43,4.69,8.41
Athletico-PR,Atlético-MG,2.42,3.3,3.16
Bahia,São Paulo,2.39,3.13,3.39
Chapecoense,Flamengo,3.08,3.1,2.57
Corinthians,Palmeiras,3.13,2.96,2.68
Vasco,Vitória,1.88,3.58,4.47
Santos,Paraná,1.6,3.75,7.18
Botafogo,Fluminense,2.58,3.1,3.09
Ceará,América-MG,1.98,3.42,4.24
Atlético-MG,Cruzeiro,2.01,3.43,4.12
Flamengo,Vasco,1.62,3.99,6.09
Palmeiras,Bahia,1.4,4.62,9.45
Vitória,Ceará,1.96,3.51,4.19
América-MG,Botafogo,2.32,3.22,3.42
Paraná,Grêmio,4.94,3.55,1.83
São Paulo,Santos,2.08,3.28,4.01
Sport,Corinthians,2,3.35,4.26
Fluminense,Athletico-PR,1.93,3.51,4.35
Internacional,Chapecoense,1.64,3.7,6.52
Fluminense,Chapecoense,1.91,3.28,4.85
Palmeiras,Sport,1.36,4.94,10.52
Atlético-MG,Flamengo,1.95,3.43,4.23
Paraná,Athletico-PR,2.61,3.13,3.02
Bahia,Vasco,1.69,3.82,5.58
Botafogo,Vitória,1.87,3.86,4.18
Internacional,Corinthians,1.84,3.34,5.22
Santos,Cruzeiro,2.83,3.22,2.74
América-MG,São Paulo,3.12,3.05,2.6
Ceará,Grêmio,3.82,3.15,2.2
Sport,Atlético-MG,2.75,3.3,2.75
Vasco,Paraná,1.97,3.21,4.65
Vitória,Internacional,3.43,3.17,2.35
Chapecoense,Ceará,1.93,3.35,4.62
São Paulo,Botafogo,1.63,3.76,6.48
